feature,risk_importance,advice_importance
BMI,0.20439049646646476,0.10225870358743366
BS,0.1943195409131655,0.1807747639966984
PreexistingDiabetes,0.19320273685796222,0.055721102738346136
HeartRate,0.13240282837936385,0.06495540176188634
MentalHealth,0.10689869447329696,0.08306280658448084
GestationalDiabetes,0.0822460002735656,0.020242828328249456
PreviousComplications,0.034576159237258194,0.03412715911570906
SystolicBP,0.016561551146047036,0.15364188030643772
DiastolicBP,0.015805596088534043,0.18070035962715617
Age,0.015600216653367655,0.06850767921032984
BodyTemp,0.003996179510974003,0.056007314743272536
